combo_id,fold,val_auc,hp_d,hp_K,hp_dropout,hp_dropout_gnn,hp_lr,hp_wd,hp_epochs,hp_hidden,hp_label_smoothing,hp_warmup
59,4,0.7941,128,2,0.3,0.5,0.005,0.001,100,128,0.0,10
60,0,0.7639,128,2,0.3,0.3,0.001,0.0001,100,128,0.0,10
60,1,0.8274,128,2,0.3,0.3,0.001,0.0001,100,128,0.0,10
60,2,0.8388,128,2,0.3,0.3,0.001,0.0001,100,128,0.0,10
60,3,0.7807,128,2,0.3,0.3,0.001,0.0001,100,128,0.0,10
60,4,0.8348,128,2,0.3,0.3,0.001,0.0001,100,128,0.0,10
61,0,0.8193,128,3,0.5,0.7,0.001,0.001,700,64,0.0,0
61,1,0.8356,128,3,0.5,0.7,0.001,0.001,700,64,0.0,0
61,2,0.8088,128,3,0.5,0.7,0.001,0.001,700,64,0.0,0
61,3,0.8051,128,3,0.5,0.7,0.001,0.001,700,64,0.0,0
61,4,0.7423,128,3,0.5,0.7,0.001,0.001,700,64,0.0,0
62,0,0.7824,64,3,0.5,0.5,0.001,0.001,700,64,0.0,0
62,1,0.7569,64,3,0.5,0.5,0.001,0.001,700,64,0.0,0
62,2,0.7692,64,3,0.5,0.5,0.001,0.001,700,64,0.0,0
62,3,0.7574,64,3,0.5,0.5,0.001,0.001,700,64,0.0,0
62,4,0.8113,64,3,0.5,0.5,0.001,0.001,700,64,0.0,0
63,0,0.8282,128,3,0.3,0.7,0.005,0.0001,500,64,0.0,10
63,1,0.7939,128,3,0.3,0.7,0.005,0.0001,500,64,0.0,10
63,2,0.771,128,3,0.3,0.7,0.005,0.0001,500,64,0.0,10
63,3,0.8239,128,3,0.3,0.7,0.005,0.0001,500,64,0.0,10
63,4,0.7733,128,3,0.3,0.7,0.005,0.0001,500,64,0.0,10
64,0,0.7741,128,4,0.5,0.5,0.005,0.001,300,64,0.1,10
64,1,0.7914,128,4,0.5,0.5,0.005,0.001,300,64,0.1,10
64,2,0.7818,128,4,0.5,0.5,0.005,0.001,300,64,0.1,10
64,3,0.7587,128,4,0.5,0.5,0.005,0.001,300,64,0.1,10
64,4,0.7485,128,4,0.5,0.5,0.005,0.001,300,64,0.1,10
65,0,0.8248,256,1,0.3,0.3,0.001,0.0001,500,128,0.0,0
65,1,0.859,256,1,0.3,0.3,0.001,0.0001,500,128,0.0,0
65,2,0.7963,256,1,0.3,0.3,0.001,0.0001,500,128,0.0,0
65,3,0.7847,256,1,0.3,0.3,0.001,0.0001,500,128,0.0,0
65,4,0.8159,256,1,0.3,0.3,0.001,0.0001,500,128,0.0,0
66,0,0.8047,128,3,0.3,0.5,0.001,0.001,700,64,0.0,10
66,1,0.8215,128,3,0.3,0.5,0.001,0.001,700,64,0.0,10
66,2,0.8309,128,3,0.3,0.5,0.001,0.001,700,64,0.0,10
66,3,0.8577,128,3,0.3,0.5,0.001,0.001,700,64,0.0,10
66,4,0.8084,128,3,0.3,0.5,0.001,0.001,700,64,0.0,10
67,0,0.8135,64,2,0.5,0.3,0.005,0.001,700,128,0.0,10
67,1,0.7307,64,2,0.5,0.3,0.005,0.001,700,128,0.0,10
67,2,0.7476,64,2,0.5,0.3,0.005,0.001,700,128,0.0,10
67,3,0.7962,64,2,0.5,0.3,0.005,0.001,700,128,0.0,10
67,4,0.7605,64,2,0.5,0.3,0.005,0.001,700,128,0.0,10
68,0,0.8048,128,4,0.3,0.7,0.005,0.0001,300,64,0.1,0
68,1,0.7561,128,4,0.3,0.7,0.005,0.0001,300,64,0.1,0
68,2,0.7764,128,4,0.3,0.7,0.005,0.0001,300,64,0.1,0
68,3,0.8372,128,4,0.3,0.7,0.005,0.0001,300,64,0.1,0
68,4,0.8318,128,4,0.3,0.7,0.005,0.0001,300,64,0.1,0
69,0,0.7835,256,3,0.5,0.5,0.005,0.0001,700,128,0.0,10
69,1,0.7617,256,3,0.5,0.5,0.005,0.0001,700,128,0.0,10
69,2,0.719,256,3,0.5,0.5,0.005,0.0001,700,128,0.0,10
